CA: ['3', ' 60', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 195, 204, 20]
CA: ['3', ' 60', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 195, 204, 65]
CA: ['3', ' 60', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 195, 204, 68]
CA: ['3', ' 60', ' 85', ' 5'] : 100 : Isomorphic CA: [3, 195, 85, 5]
CA: ['3', ' 60', ' 85', ' 20'] : 100 : Isomorphic CA: [3, 195, 153, 5]
CA: ['3', ' 60', ' 85', ' 65'] : 100 : Isomorphic CA: [3, 195, 102, 5]
CA: ['3', ' 60', ' 85', ' 80'] : 100 : Isomorphic CA: [3, 195, 170, 5]
CA: ['3', ' 60', ' 170', ' 5'] : 100 : Isomorphic CA: [3, 195, 85, 80]
CA: ['3', ' 60', ' 170', ' 20'] : 100 : Isomorphic CA: [3, 195, 102, 80]
CA: ['3', ' 60', ' 170', ' 65'] : 100 : Isomorphic CA: [3, 195, 153, 80]
CA: ['3', ' 60', ' 170', ' 80'] : 100 : Isomorphic CA: [3, 195, 170, 80]
CA: ['3', ' 60', ' 102', ' 5'] : 100 : Isomorphic CA: [3, 195, 85, 65]
CA: ['3', ' 60', ' 102', ' 17'] : 100 : Isomorphic CA: [3, 195, 153, 17]
CA: ['3', ' 60', ' 102', ' 68'] : 100 : Isomorphic CA: [3, 195, 102, 68]
CA: ['3', ' 60', ' 102', ' 80'] : 100 : Isomorphic CA: [3, 195, 170, 20]
CA: ['3', ' 60', ' 153', ' 5'] : 100 : Isomorphic CA: [3, 195, 85, 20]
CA: ['3', ' 60', ' 153', ' 17'] : 100 : Isomorphic CA: [3, 195, 102, 17]
CA: ['3', ' 60', ' 153', ' 68'] : 100 : Isomorphic CA: [3, 195, 153, 68]
CA: ['3', ' 60', ' 153', ' 80'] : 100 : Isomorphic CA: [3, 195, 170, 65]
CA: ['3', ' 195', ' 51', ' 17'] : 100 : Isomorphic CA: [3, 60, 51, 17]
CA: ['3', ' 195', ' 51', ' 20'] : 100 : Isomorphic CA: [3, 60, 51, 65]
CA: ['3', ' 195', ' 51', ' 65'] : 100 : Isomorphic CA: [3, 60, 51, 20]
CA: ['3', ' 195', ' 51', ' 68'] : 100 : Isomorphic CA: [3, 60, 51, 68]
CA: ['3', ' 195', ' 204', ' 17'] : 100 : Isomorphic CA: [3, 60, 204, 17]
CA: ['3', ' 195', ' 204', ' 20'] : 100 : Isomorphic CA: [3, 60, 204, 20]
CA: ['3', ' 195', ' 204', ' 65'] : 100 : Isomorphic CA: [3, 60, 204, 65]
CA: ['3', ' 195', ' 204', ' 68'] : 100 : Isomorphic CA: [3, 60, 204, 68]
CA: ['3', ' 195', ' 85', ' 5'] : 100 : Isomorphic CA: [3, 60, 85, 5]
CA: ['3', ' 195', ' 85', ' 20'] : 100 : Isomorphic CA: [3, 60, 153, 5]
CA: ['3', ' 195', ' 85', ' 65'] : 100 : Isomorphic CA: [3, 60, 102, 5]
CA: ['3', ' 195', ' 85', ' 80'] : 100 : Isomorphic CA: [3, 60, 170, 5]
CA: ['3', ' 195', ' 170', ' 5'] : 100 : Isomorphic CA: [3, 60, 85, 80]
CA: ['3', ' 195', ' 170', ' 20'] : 100 : Isomorphic CA: [3, 60, 102, 80]
CA: ['3', ' 195', ' 170', ' 65'] : 100 : Isomorphic CA: [3, 60, 153, 80]
CA: ['3', ' 195', ' 170', ' 80'] : 100 : Isomorphic CA: [3, 60, 170, 80]
CA: ['3', ' 195', ' 102', ' 5'] : 100 : Isomorphic CA: [3, 60, 85, 65]
CA: ['3', ' 195', ' 102', ' 17'] : 100 : Isomorphic CA: [3, 60, 153, 17]
CA: ['3', ' 195', ' 102', ' 68'] : 100 : Isomorphic CA: [3, 60, 102, 68]
CA: ['3', ' 195', ' 102', ' 80'] : 100 : Isomorphic CA: [3, 60, 170, 20]
CA: ['3', ' 195', ' 153', ' 5'] : 100 : Isomorphic CA: [3, 60, 85, 20]
CA: ['3', ' 195', ' 153', ' 17'] : 100 : Isomorphic CA: [3, 60, 102, 17]
CA: ['3', ' 195', ' 153', ' 68'] : 100 : Isomorphic CA: [3, 60, 153, 68]
CA: ['3', ' 195', ' 153', ' 80'] : 100 : Isomorphic CA: [3, 60, 170, 65]
CA: ['3', ' 85', ' 15', ' 17'] : 100 : Isomorphic CA: [3, 85, 15, 17]
CA: ['3', ' 85', ' 15', ' 68'] : 100 : Isomorphic CA: [3, 85, 15, 68]
CA: ['3', ' 85', ' 60', ' 17'] : 100 : Isomorphic CA: [3, 153, 15, 17]
