CA: ['3', ' 204', ' 147', ' 68'] : 000
CA: ['3', ' 204', ' 156', ' 17'] : 000
CA: ['3', ' 204', ' 156', ' 68'] : 000
CA: ['3', ' 204', ' 198', ' 17'] : 000
CA: ['3', ' 204', ' 198', ' 68'] : 000
CA: ['3', ' 204', ' 201', ' 17'] : 000
CA: ['3', ' 204', ' 201', ' 68'] : 000
CA: ['3', ' 204', ' 86', ' 5'] : 000
CA: ['3', ' 204', ' 86', ' 80'] : 000
CA: ['3', ' 204', ' 89', ' 5'] : 000
CA: ['3', ' 204', ' 89', ' 80'] : 000
CA: ['3', ' 204', ' 101', ' 5'] : 000
CA: ['3', ' 204', ' 101', ' 80'] : 000
CA: ['3', ' 204', ' 106', ' 5'] : 000
CA: ['3', ' 204', ' 106', ' 80'] : 000
CA: ['3', ' 204', ' 149', ' 5'] : 000
CA: ['3', ' 204', ' 149', ' 80'] : 000
CA: ['3', ' 204', ' 154', ' 5'] : 000
CA: ['3', ' 204', ' 154', ' 80'] : 000
CA: ['3', ' 204', ' 166', ' 5'] : 000
CA: ['3', ' 204', ' 166', ' 80'] : 000
CA: ['3', ' 204', ' 169', ' 5'] : 000
CA: ['3', ' 204', ' 169', ' 80'] : 000
CA: ['3', ' 60', ' 51', ' 17'] : 000
CA: ['3', ' 60', ' 51', ' 20'] : 000
CA: ['3', ' 60', ' 51', ' 65'] : 000
CA: ['3', ' 60', ' 51', ' 68'] : 000
CA: ['3', ' 60', ' 204', ' 17'] : 000
CA: ['3', ' 60', ' 204', ' 20'] : 000
CA: ['3', ' 60', ' 204', ' 65'] : 000
CA: ['3', ' 60', ' 204', ' 68'] : 000
CA: ['3', ' 60', ' 60', ' 17'] : 000
CA: ['3', ' 60', ' 60', ' 20'] : 000
CA: ['3', ' 60', ' 60', ' 65'] : 000
CA: ['3', ' 60', ' 60', ' 68'] : 000
CA: ['3', ' 60', ' 195', ' 17'] : 000
CA: ['3', ' 60', ' 195', ' 20'] : 000
CA: ['3', ' 60', ' 195', ' 65'] : 000
CA: ['3', ' 60', ' 195', ' 68'] : 000
CA: ['3', ' 60', ' 85', ' 5'] : 000
CA: ['3', ' 60', ' 85', ' 20'] : 000
CA: ['3', ' 60', ' 85', ' 65'] : 000
CA: ['3', ' 60', ' 85', ' 80'] : 000
CA: ['3', ' 60', ' 90', ' 5'] : 000
CA: ['3', ' 60', ' 90', ' 20'] : 000
CA: ['3', ' 60', ' 90', ' 65'] : 000
CA: ['3', ' 60', ' 90', ' 80'] : 000
CA: ['3', ' 60', ' 165', ' 5'] : 000
CA: ['3', ' 60', ' 165', ' 20'] : 000
CA: ['3', ' 60', ' 165', ' 65'] : 000
CA: ['3', ' 60', ' 165', ' 80'] : 000
